Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_737.jpg;0;0;1;0;99.67045;85.58955;-0.005685721;51.15949;2.098811E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_803.jpg;0;0;1;0;99.67044;85.58954;359.9939;51.15949;1.822461E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_870.jpg;0;0;0;0;99.67044;85.58953;359.9935;51.15949;1.393177E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_934.jpg;0;0;0;0;99.67044;85.58953;359.9934;51.15949;1.077493E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_000.jpg;0;0;0;0;99.67044;85.58953;359.9935;51.15949;7.562232E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_069.jpg;0;0;0;0;99.67044;85.58954;359.9937;51.15949;3.794456E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_135.jpg;0;0;0;0;99.67044;85.58954;359.994;51.15949;1.362786E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_198.jpg;0;0;0;0;99.67045;85.58955;-0.005522666;51.15949;-1.134126E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_243.jpg;0;0;0;0;99.67046;85.58955;-0.005199234;51.15949;-2.474088E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_293.jpg;0;0.1357112;0;0.02312069;99.67139;85.59071;0.02830816;51.16757;-4.55485E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_342.jpg;0;0.3183267;0;0;99.67172;85.59113;0.03802657;51.10805;5.593136E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_409.jpg;0;0.4938598;0;0.0345256;99.67413;85.59411;0.1147283;51.04765;0.0002191101
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_467.jpg;0;0.6353066;0;0.06692626;99.6781;85.59902;0.2394687;51.05069;0.0001414408
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_535.jpg;0;0.8482976;0;0.08238209;99.68342;85.60559;0.3976315;51.01988;0.0002504818
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_602.jpg;0;1;0;0.1550719;99.69098;85.61484;0.5920977;50.85137;0.00087894
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_669.jpg;0;1;0;0.1975438;99.70484;85.63189;0.9111615;50.97074;-0.000616449
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_734.jpg;0;1;0;0.2461764;99.71764;85.64758;1.167832;50.9117;9.737709E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_801.jpg;0;1;0;0.3045951;99.73103;85.66383;1.319468;50.84818;-0.001768474
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_870.jpg;0;1;0;0.3629967;99.74847;85.68523;1.190447;50.68147;-0.000102555
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_934.jpg;0;1;0;0.4406847;99.76454;85.70484;1.121178;50.77505;-0.0005790494
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_24_994.jpg;0;1;0;0.4908212;99.78339;85.72771;1.121806;50.67698;-9.494716E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_064.jpg;0;1;0;0.5367827;99.80413;85.75288;1.156257;50.66969;-0.0008014831
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_115.jpg;0;1;0;0.5727961;99.82742;85.78117;1.230406;50.65345;-0.0002917643
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_161.jpg;0;1;0;0.6082566;99.84341;85.80048;1.24036;50.587;-0.0002556317
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_214.jpg;0;1;0;0.6472363;99.86855;85.8308;1.21914;50.62408;-0.001146717
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_261.jpg;0;1;0;0.7005623;99.88626;85.85224;1.196846;50.60125;-4.034961E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_308.jpg;0;1;0;0.7325877;99.91476;85.88668;1.185935;50.56503;-0.0002666746
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_363.jpg;0;1;0;0.788782;99.93533;85.91147;1.209792;50.54305;-0.0008678408
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_430.jpg;0;1;0;0.835385;99.97869;85.96371;1.233668;50.52437;-0.001165298
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_499.jpg;0;1;0;0.8898951;100.0136;86.00566;1.240038;50.48438;-0.0006639378
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_564.jpg;0;1;0;0.9566233;100.0501;86.04967;1.228302;50.48854;-0.001073841
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_631.jpg;0;1;0;1.004814;100.1015;86.11146;1.205197;50.45432;-0.0002057783
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_699.jpg;0;1;0;1.050498;100.1426;86.16081;1.223147;50.48849;-0.001177942
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_762.jpg;0;1;0;1.113054;100.1852;86.21211;1.22718;50.53304;-0.001224859
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_814.jpg;0;1;0;1.155606;100.2296;86.26551;1.222874;50.52251;-0.0005099257
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_878.jpg;0;1;0;1.188911;100.2759;86.32125;1.229157;50.49244;-0.0005483822
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_926.jpg;0;1;0;1.237064;100.3239;86.37909;1.231111;50.47056;-0.0009023802
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_25_990.jpg;0;1;0;1.300218;100.3739;86.43916;1.235005;50.44134;-0.0008547726
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_046.jpg;0;1;0;1.347482;100.4257;86.50138;1.238019;50.41836;-0.0008898398
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_114.jpg;0;1;0;1.380341;100.4793;86.56576;1.240356;50.39878;-0.0009106562
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_26_181.jpg;0;1;0;1.441946;100.5349;86.63235;1.246315;50.37861;-0.0008677193
